E-UTRA band,Parameter,Units,Frequency,,,
,,,Range 1,Range 2,Range 3,Range 4
,PInterferer,dBm,-44,-30,-15,-15
"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42 (NOTE 2), 43 (NOTE 2), 44, 45, 48 (NOTE 2), 50, 51, 52 (NOTE 6), 539, 54, 65, 66, 68, 70, 71, 72, 73, 74, 85, 87, 88, 106, 111",FInterferer (CW),MHz,FDL_low -15 toFDL_low -60,FDL_low -60 toFDL_low -85,FDL_low -85 to1 MHz,-
,,,FDL_high +15 toFDL_high + 60,FDL_high +60 toFDL_high +85,FDL_high +85 to+12750 MHz,-
"2, 5, 12, 17, 85",FInterferer,MHz,-,-,-,FUL_low - FUL_high(NOTE 5)
"NOTE 1:For the UE which supports both Band 11 and Band 21 the out of blocking is FFS.NOTE 2:The power level of the interferer (PInterferer) for Range 3 shall be modified to -20 dBm for FInterferer > 2800 MHz and FInterferer < 4400 MHz. The power level of the interferer (PInterferer) for Range 3 shall be modified to -20 dBm for FInterferer > 2800 MHz and FInterferer < 4800 MHz when UE supports both E-UTRA band B42 and NR bands n77, n78.NOTE 3:For the UE that supports both Band 4 and Band 66, the out-of-blocking frequency range for Band 4 is defined relative to FDL_low and FDL_high of Band 66.NOTE 4:For a UE supporting CA_20A-28A, CA_1A-3A-7A-20A-28A, CA_1A-3A-20A-28A, CA_1A-3A-3A-20A-28A, CA_1A-7A-20A-28A, CA_1A-20A-28A, CA_3A-7A-20A-28A, CA_3A-20A-28A or CA_7A-20A-28A the requirements for Band 20 and Band 28 apply with FDL_low  given by the lower limit of the restricted operating frequency range in Band 28 and FDL_high  by Band 20 (Table 5.5A-2).NOTE 5:Range 4 requirement does not apply to category M1 and M2.NOTE 6:The power level of the interferer (PInterferer) for Range 3 shall be modified to -20 dBm for FInterferer > 2700 MHz and FInterferer < 4000 MHz.NOTE 7:For band 51 the FDL_high of band 50 is applied as FDL_high for band 51.NOTE 8:For UEs supporting both bands 38 and 41, the FDL_high and FDL_low of band 41 is applied as FDL_high and FDL_low for band 38.NOTE 9:The power level of the interferer (PInterferer) for Range 3 shall be modified to -20 dBm for FInterferer > 2580 MHz and FInterferer < 2775 MHz.",,,,,,
