"PCMAX,c(dBm)","Tolerance T(PCMAX,c)(dB)"
"PCMAX,c = 20",2.0
"19 ≤ PCMAX,c < 20",3.5
"18 ≤ PCMAX,c < 19",4.0
"13 ≤ PCMAX,c < 18",5.0
"8 ≤ PCMAX,c < 13",6.0
"-40 ≤ PCMAX,c < 8",7.0
