Parameter,Units,Frequency,,
,,Range 1,Range 2,Range 3
Pwanted,dBm,REFSENS + 6 dB,,
Pinterferer (CW),dBm,-44,-30,-15
Finterferer range,MHz,FDL_low - 15 to FDL_low - 60,FDL_low - 60 to FDL_low - 85,FDL_low - 85 to 1 MHz
,MHz,FDL_high + 15 to FDL_high + 60,FDL_high + 60 to FDL_high + 85,FDL_high + 85 to 12750 MHz
NOTE 1:For operating bands which downlink band frequency range is between 617 MHz < f < 1 GHz the power level of the interferer (PInterferer) for Range 3 shall be modified to: -18 dBm for the frequency range which is bounded by FDL_low  - 150 MHz of the lowest band that UE supports in frequency range 617 MHz < f < 1 GHz and FDL_high  + 150 MHz of the highest band that UE supports in frequency range 617 MHz < f < 1 GHz.NOTE 2:For operating bands which downlink band frequency range is between 1475.9 MHz < f < 2690 MHz the power level of the interferer (PInterferer) for Range 3 shall be modified to: -20 dBm for the frequency range which is bounded by FDL_low- 200 MHz of the lowest band that UE supports in frequency range 1475.9 MHz < f < 2690 MHz and FDL_high  + 200 MHz of the highest band that UE supports supports in frequency range 1475.9 MHz < f < 2690 MHz.NOTE 3:For operating bands which downlink band frequency range is between 460 MHz < f < 467.5 MHz the power level of the interferer (PInterferer) for Range 3 shall be modified to: – 18 dBm for the frequency range which is bounded by FDL_low  - 150 MHz of the lowest band that UE supports in frequency range 460 MHz < f < 467.5 0 MHz and FDL_high  + 150 MHz of the highest band that UE supports supports in frequency range 460 MHz < f < 467.5.NOTE 4:The power level of the interferer (PInterferer) for Range 3 shall be modified to -20 dBm for FInterferer > 2800 MHz and FInterferer < 4400 MHz.,,,,
