Rx parameter,Units,PMCH bandwidth
,,"6, 7, 8 MHz"
Power in Transmission Bandwidth Configuration,dBm,REFSENS + 6
BWInterferer,MHz,5
"FIoffset, case 1",MHz,7.5+0.0025
"FIoffset, case 2",MHz,12.5+0.0125
NOTE 1:The interferer consists of the Reference measurement channel specified in Annex A.3.18.,,
