Frequency band(MHz),Channel bandwidth / Spectrum emission limit (dBm),Measurement bandwidth
,10 MHz,
769 ≤ f ≤ 775,-57,6.25 kHz
NOTE:The emissions measurement shall be sufficiently power averaged to ensure standard standard deviation < 0.5 dB.,,
