Rx Parameter,Units,CA Bandwidth Class,,,,
,,B,C,D,E,F
"Pw in Transmission Bandwidth Configuration, per CC",dBm,REFSENS + CA Bandwidth Class specific value below,,,,
,,9,9,9,9,9
"NOTE 1:The transmitter shall be set to 4dB below PCMAX_L,c or PCMAX_L as defined in subclause 6.2.5A.NOTE 2:Reference measurement channel is specified in Annex A.3.2 with one sided dynamic OCNG Pattern OP.1 FDD/TDD as described in Annex A.5.1.1/A.5.2.1.",,,,,,
