CA configuration / CC combination / NRB_agg / Duplex mode,,,,,,,,,,,
Uplink CA configuration,25RB+25RB,,50RB+15RB,,50RB+25RB,,50RB+50RB,,75RB+25RB,,Duplex Mode
,PCC,SCC,PCC,SCC,PCC,SCC,PCC,SCC,PCC,SCC,
CA_5B,N/A,N/A,N/A,N/A,25,0,25,0,N/A,N/A,FDD
CA_8B,N/A,N/A,25,0,25,0,25,0,N/A,N/A,FDD
CA_66B,25,25,N/A,N/A,50,25,50,50,75,25,FDD
"NOTE 1:The carrier centre frequency of SCC in the UL operating band is configured closer to the DL operating band.NOTE 2:The transmitted power over both PCC and SCC shall be set to PUMAX as defined in subclause 6.2.5A.NOTE 3:The UL resource blocks in both PCC and SCC shall be confined within the transmission bandwidth configuration for the channel bandwidth (Table 5.6-1).NOTE 4:The UL resource blocks in PCC shall be located as close as possible to the downlink operating band, while the UL resource blocks in SCC shall be located as far as possible from the downlink operating band.NOTE 5:In case a CA configuration consists of CC channel bandwidths which are unequal in bandwidth the PCC channel bandwidth shall be the larger one for reference sensitivity test.",,,,,,,,,,,
