Frequency Range,Maximum Level,Measurement bandwidth,NOTE
9 kHz  f < 150 kHz,-36 dBm,1 kHz,
150 kHz  f < 30 MHz,-36 dBm,10 kHz,
30 MHz  f < 1000 MHz,-36 dBm,100 kHz,
1 GHz  f < 12.75 GHz,-30 dBm,1 MHz,
12.75 GHz ≤ f < 5th harmonic of the upper frequency edge of the UL operating band in GHz,-30 dBm,1 MHz,1
12.75 GHz < f < 26GHz,-30dBm,1MHz,2
"NOTE 1:Applies for Band 22, Band 42, Band 43 and Band 48.NOTE 2:Applies for Band 46 and Band 47.",,,
