Channel bandwidth confined to 1429-1432MHz (B51),,,
Channel bandwidth [MHz],Carrier centre frequency (FC)[MHz],Parameters,Region A
3MHz,1430.5 MHz < FC ≤ 1432  MHZ,RBstart,0
,,LCRB [RBs],12
,,A-MPR [dB],≤ 9
