Channel bandwidth,,,,,,,
E-UTRAV2X Band,1.4 MHz(dBm),3 MHz(dBm),5 MHz(dBm),10 MHz(dBm),15 MHz(dBm),20 MHz(dBm),Duplex Mode
47,,,,-90.4,,-87.5,HD
NOTE 1:Reference measurement channel is defined in A.8.2.NOTE 2:The signal power is specified per port.,,,,,,,
