CA Bandwidth Class C,RBStart,LCRB [RBs],RBstart + LCRB [RBs],A-MPR for QPSK [dB],"A-MPR for 16 QAM, 64 QAM and 256 QAM [dB]"
25 RB / 100 RB,0 – 34 and 90 – 124,>0,N/A,≤3dB,≤3.5dB
,35 – 89,N/A,>90,≤1dB,≤2.5dB
50RB / 100 RB,0 – 44 and 105 – 149,>0,N/A,≤4dB,≤4dB
,45 – 104,N/A,>105,≤3dB,≤4dB
75 RB / 75 RB,0 – 44 and 105 – 149,>0,N/A,≤4dB,≤4dB
,45 – 104,N/A,>105,≤4dB,≤4dB
100 RB / 75 RB,0 – 49 and 125 – 174,>0,N/A,≤4dB,≤4dB
,50 - 124,N/A,>125,≤3dB,≤4dB
100 RB / 100 RB,0 – 59 and 140 – 199,>0,N/A,≤3dB,≤4dB
,60– 139,N/A,>140,≤4dB,≤4dB
"NOTE 1:RBstart indicates the lowest RB index of transmitted resource blocksNOTE 2:LCRB is the length of a contiguous resource block allocationNOTE 3:For intra-subframe frequency hopping which intersects regions, notes 1 and 2 apply on a per slot basis. For intra-slot or intra-subslot frequency hopping which intersects regions, notes 1 and 2 apply on a per Tno_hopping basis..NOTE 4:For intra-subframe frequency hopping which intersects regions, the larger A-MPR value may be applied for both slots in the subframe. For intra-slot frequency hopping which intersects regions, the larger A-MPR value may be applied for the slot. For intra-subslot frequency hopping which intersects regions, the larger A-MPR value may be applied for the subslot.",,,,,
