,UTRAACLR1/2  / measurement bandwidth
UTRAACLR1,33 dB
Adjacent channel centre frequency offset (in MHz),"+ Fedge,block,high + BWUTRA/2/- Fedge,block,low - BWUTRA/2"
UTRAACLR2,36 dB
Adjacent channel centre frequency offset (in MHz),"+ Fedge,block,high + 3*BWUTRA/2/- Fedge,block,low – 3*BWUTRA/2"
Sub-block measurement bandwidth,"BWChannel,block - 2* BWGB"
UTRA 5 MHz channel Measurement bandwidth (NOTE 1),3.84 MHz
UTRA 1.6 MHz channel measurement bandwidth (NOTE 2),1.28 MHz
NOTE 1:Applicable for E-UTRA FDD co-existence with UTRA FDD in paired spectrum.NOTE 2:Applicable for E-UTRA TDD co-existence with UTRA TDD in unpaired spectrum.,
