Protected band,Frequency range (MHz),,,Maximum Level (dBm),MBW (MHz),NOTE
Frequency range,2570,-,2575,+1.6,5,"1, 2"
Frequency range,2575,-,2595,-15.5,5,"1, 2"
Frequency range,2595,-,2620,-40,1,
"NOTE 1:The requirement also applies for the frequency ranges that are less than FOOB (MHz) in Table 6.6.3.1-1 and Table 6.6.3.1A-1 from the edge of the channel bandwidth.NOTE 2:For these adjacent bands, the emission limit could imply risk of harmful interference to UE(s) operating in the protected operating band.",,,,,,
