CA Bandwidth Class,Aggregated Transmission Bandwidth Configuration,Number of contiguous CC,Nominal Guard Band BWGB
A,"NRB,agg ≤ 100",1,a1 BWChannel(1) - 0.5f1 (NOTE 2)
B,"25 < NRB,agg ≤ 100",2,"0.05 max(BWChannel(1),BWChannel(2)) - 0.5f1"
C,"100 < NRB,agg ≤ 200",2,"0.05 max(BWChannel(1),BWChannel(2)) - 0.5f1"
D,"200 < NRB,agg ≤ 300",3,"0.05 max(BWChannel(1),BWChannel(2), BWChannel(3)) - 0.5f1"
E,"300 < NRB,agg ≤ 400",4,"0.05 max(BWChannel(1),BWChannel(2), BWChannel(3) , BWChannel(4)) - 0.5f1"
F,"400 < NRB,agg ≤ 500",5,"0.05 max(BWChannel(1),BWChannel(2), BWChannel(3) , BWChannel(4) , BWChannel(5)) - 0.5f1"
I,"700 < NRB,agg ≤ 800",8,NOTE 3
"NOTE 1:BWChannel(j), j = 1, 2, 3, 4 is the channel bandwidth of an E-UTRA component carrier according to Table 5.6-1 and f1 = f for the downlink with f the subcarrier spacing while f1 = 0 for the uplink.NOTE 2:a1 = 0.16/1.4 for BWChannel(1) = 1.4 MHz whereas a1 = 0.05 for all other channel bandwidths.NOTE 3:Applicable for later releases.",,,
