E-UTRA ProSe band / ProSe channel bandwidth,,,,,,
E-UTRAProSeBand,1.4 MHz,3 MHz,5 MHz,10 MHz,15 MHz,20 MHz
3,,,,Yes,,
7,,,,Yes,,
14,,,,Yes,,
20,,,,Yes,,
26,,,,Yes,,
28,,,,Yes,,
31,,,Yes,,,
68,,,Yes,Yes,,
72,,,Yes,,,
