E-UTRA ProSe Band Note 1,E-UTRA band / E-UTRA CA band Note 2
2,4
,CA_2-4Note 3
28,1
,CA_1-28Note 3
NOTE 1:As specified in Table 5.5D-1NOTE 2:As specified in Table 5.5-1 and Table 5.5A-2NOTE 3:Applies when E-UTRA uplink is assigned to one E-UTRA band and ProSe operation is restricted to the uplink frequencies paired with either PCC or SCC.NOTE 4:The concurrency for E-UTRA ProSe Direct Discovery with E-UTRA uplink/downlink applies after allowing for any transmission and/or reception gap requested by the UE.,
