Operating Band,PMCH bandwidth,,,Duplex Mode
,6 MHz(dBm),7 MHz(dBm),8 MHz(dBm),
"107, 108, 112, 113",-99.2,-98.5,-97.9,SDO
NOTE1:The signal power is specified per portNOTE2: Values in this table apply only to UE implementations that relies on digital filtering according to the configured broadcast channel bandwidth,,,,
