Channel bandwidth [MHz],Parameter,Region A,Region B,Region C,Region D
10 MHz,RBstart,0 - 9,0,1-14,0-5
,LCRB [RBs],27-32,36-40,36-40,≥45
,A-MPR [dB],≤1,≤2,≤1,≤3
