NE-DC configuration,Uplink NE-DC configuration (NOTE 1)
DC_n257A_1A-3A-5A-7ADC_n257G_1A-3A-5A-7ADC_n257H_1A-3A-5A-7ADC_n257I_1A-3A-5A-7ADC_n257J_1A-3A-5A-7ADC_n257K_1A-3A-5A-7ADC_n257L_1A-3A-5A-7ADC_n257M_1A-3A-5A-7A,DC_n257A_1ADC_n257A_3ADC_n257A_5ADC_n257A_7A
DC_n257A_1A-3A-5A-7A-7ADC_n257G_1A-3A-5A-7A-7ADC_n257H_1A-3A-5A-7A-7ADC_n257I_1A-3A-5A-7A-7ADC_n257J_1A-3A-5A-7A-7ADC_n257K_1A-3A-5A-7A-7ADC_n257L_1A-3A-5A-7A-7ADC_n257M_1A-3A-5A-7A-7A,DC_n257A_1ADC_n257A_3ADC_n257A_5ADC_n257A_7A
NOTE 1:Uplink NE-DC configurations are the configurations supported by the present release of specifications.NOTE 2:Applicable for UE supporting inter-band NE-DC with mandatory simultaneous Rx/Tx capability,
