NE-DC configuration,Uplink NE-DC configuration (note 1)
DC_n257A_1A-3ADC_n257G_1A-3ADC_n257H_1A-3ADC_n257I_1A-3ADC_n257J_1A-3ADC_n257K_1A-3ADC_n257L_1A-3ADC_n257M_1A-3ADC_n257A_1A-3CDC_n257G_1A-3CDC_n257H_1A-3CDC_n257I_1A-3CDC_n257J_1A-3CDC_n257K_1A-3CDC_n257L_1A-3CDC_n257M_1A-3C,DC_n257A_1ADC_n257A_3ADC_n257G_3ADC_n257H_3ADC_n257I_3ADC_n257J_3ADC_n257K_3ADC_n257L_3ADC_n257M_3A
DC_n257A_1A-5ADC_n257G_1A-5ADC_n257H_1A-5ADC_n257I_1A-5ADC_n257J_1A-5ADC_n257K_1A-5ADC_n257L_1A-5ADC_n257M_1A-5A,DC_n257A_1ADC_n257A_5A
DC_n257A_1A-7ADC_n257G_1A-7ADC_n257H_1A-7ADC_n257I_1A-7ADC_n257J_1A-7ADC_n257K_1A-7ADC_n257L_1A-7ADC_n257M_1A-7A,DC_n257A_1ADC_n257A_7A
DC_n257A_1A-7A-7ADC_n257G_1A-7A-7ADC_n257H_1A-7A-7ADC_n257I_1A-7A-7ADC_n257J_1A-7A-7ADC_n257K_1A-7A-7ADC_n257L_1A-7A-7ADC_n257M_1A-7A-7A,DC_n257A_1ADC_n257A_7A
DC_n257A_1A-8ADC_n257G_1A-8ADC_n257H_1A-8ADC_n257I_1A-8ADC_n257J_1A-8ADC_n257K_1A-8ADC_n257L_1A-8ADC_n257M_1A-8A,DC_n257A_1ADC_n257A_8A
DC_n257A_3A-5ADC_n257G_3A-5ADC_n257H_3A-5ADC_n257I_3A-5ADC_n257J_3A-5ADC_n257K_3A-5ADC_n257L_3A-5ADC_n257M_3A-5A,DC_n257A_3ADC_n257A_5A
DC_n257A_3A-7ADC_n257G_3A-7ADC_n257H_3A-7ADC_n257I_3A-7ADC_n257J_3A-7ADC_n257K_3A-7ADC_n257L_3A-7ADC_n257M_3A-7A,DC_n257A_3ADC_n257A_7A
DC_n257A_3A-7A-7ADC_n257G_3A-7A-7ADC_n257H_3A-7A-7ADC_n257I_3A-7A-7ADC_n257J_3A-7A-7ADC_n257K_3A-7A-7ADC_n257L_3A-7A-7ADC_n257M_3A-7A-7A,DC_n257A_3ADC_n257A_7A
DC_n257A_3A-8ADC_n257G_3A-8ADC_n257H_3A-8ADC_n257I_3A-8ADC_n257J_3A-8ADC_n257K_3A-8ADC_n257L_3A-8ADC_n257M_3A-8ADC_n257A_3C-8ADC_n257G_3C-8ADC_n257H_3C-8ADC_n257I_3C-8ADC_n257J_3C-8ADC_n257K_3C-8ADC_n257L_3C-8ADC_n257M_3C-8A,DC_n257A_3ADC_n257A_8A
DC_n257A_5A-7ADC_n257G_5A-7ADC_n257H_5A-7ADC_n257I_5A-7ADC_n257J_5A-7ADC_n257K_5A-7ADC_n257L_5A-7ADC_n257M_5A-7A,DC_n257A_5ADC_n257A_7A
DC_n257A_5A-7A-7ADC_n257G_5A-7A-7ADC_n257H_5A-7A-7ADC_n257I_5A-7A-7ADC_n257J_5A-7A-7ADC_n257K_5A-7A-7ADC_n257L_5A-7A-7ADC_n257M_5A-7A-7A,DC_n257A_5ADC_n257A_7A
NOTE 1:Uplink NE-DC configurations are the configurations supported by the presNEt release of specifications.NOTE 2:Applicable for UE supporting inter-band NE-DC with mandatory simultaneous Rx/Tx capability,
