V2X configuration,SL transmisison band,Channel bandwidths for E-UTRA carrier (MHz),Channel bandwidths for NR carrier (MHz),Maximum aggregated bandwidth (MHz),Bandwidth combination set
V2X_47A_n47A,E-UTRA Band 47 or NR band n47,10,"10,20,30,40",60,0
,,20,"10,20,30,40",,
