NE-DC configuration,Uplink NE-DC configuration (NOTE 1)
DC_n8A-n77A-n257A-3(n)AA-1ADC_n8A-n77A-n257G-3(n)AA-1ADC_n8A-n77A-n257H-3(n)AA-1ADC_n8A-n77A-n257I-3(n)AA-1ADC_n8A-n77A-n257J-3(n)AA-1ADC_n8A-n77A-n257K-3(n)AA-1ADC_n8A-n77A-n257L-3(n)AA-1ADC_n8A-n77A-n257M-3(n)AA-1A,DC_n3A_1ADC_3(n)AA2DC_n8A_1ADC_n8A_3ADC_n77A_1ADC_n77A_3ADC_n257A_1ADC_n257A_3A
DC_n77(2A)-n257A-3(n)AA-1A-8ADC_n77(2A)-n257G-3(n)AA-1A-8ADC_n77(2A)-n257H-3(n)AA-1A-8ADC_n77(2A)-n257I-3(n)AA-1A-8ADC_n77(2A)-n257J-3(n)AA-1A-8ADC_n77(2A)-n257K-3(n)AA-1A-8ADC_n77(2A)-n257L-3(n)AA-1A-8ADC_n77(2A)-n257M-3(n)AA-1A-8A,DC_n3A_1ADC_3(n)AA2DC_n3A_8ADC_n77A_1ADC_n77A_3ADC_n77A_8ADC_n257A_1ADC_n257A_3ADC_n257A_8A
DC_n8A-n77(2A)-n257A-3(n)AA-1ADC_n8A-n77(2A)-n257G-3(n)AA-1ADC_n8A-n77(2A)-n257H-3(n)AA-1ADC_n8A-n77(2A)-n257I-3(n)AA-1ADC_n8A-n77(2A)-n257J-3(n)AA-1ADC_n8A-n77(2A)-n257K-3(n)AA-1ADC_n8A-n77(2A)-n257L-3(n)AA-1ADC_n8A-n77(2A)-n257M-3(n)AA-1A,DC_n3A_1ADC_3(n)AA2DC_n8A_1ADC_n8A_3ADC_n77A_1ADC_n77A_3ADC_n257A_1ADC_n257A_3A
NOTE 1:Uplink NE-DC configurations are the configurations supported by the present release of specifications.NOTE 2:Only single switched UL is supported.,
