NE-DC configuration,Uplink NE-DC configuration (note 1)
DC_n3A-n257A_1ADC_n3A-n257G_1ADC_n3A-n257H_1ADC_n3A-n257I_1ADC_n3A-n257J_1ADC_n3A-n257K_1ADC_n3A-n257L_1ADC_n3A-n257M_1A,DC_n3A_1ADC_n257A_1A
DC_n3A-n257A_8ADC_n3A-n257G_8ADC_n3A-n257H_8ADC_n3A-n257I_8ADC_n3A-n257J_8ADC_n3A-n257K_8ADC_n3A-n257L_8ADC_n3A-n257M_8A,DC_n3A_8ADC_n257A_8A
DC_n8A-n257A_1ADC_n8A-n257G_1ADC_n8A-n257H_1ADC_n8A-n257I_1ADC_n8A-n257J_1ADC_n8A-n257K_1ADC_n8A-n257L_1ADC_n8A-n257M_1A,DC_n8A_1ADC_n257A_1A
DC_n8A-n257A_3ADC_n8A-n257G_3ADC_n8A-n257H_3ADC_n8A-n257I_3ADC_n8A-n257J_3ADC_n8A-n257K_3ADC_n8A-n257L_3ADC_n8A-n257M_3A,DC_n8A_3ADC_n257A_3A
DC_n77A-n257A_1ADC_n77A-n257G_1ADC_n77A-n257H_1ADC_n77A-n257I_1ADC_n77A-n257J_1ADC_n77A-n257K_1ADC_n77A-n257L_1ADC_n77A-n257M_1A,DC_n77A_1ADC_n257A_1A
DC_n77(2A)-n257A_1ADC_n77(2A)-n257G_1ADC_n77(2A)-n257H_1ADC_n77(2A)-n257I_1ADC_n77(2A)-n257J_1ADC_n77(2A)-n257K_1ADC_n77(2A)-n257L_1ADC_n77(2A)-n257M_1A,DC_n77A_1ADC_n257A_1A
DC_n77A-n257A_3ADC_n77A-n257G_3ADC_n77A-n257H_3ADC_n77A-n257I_3ADC_n77A-n257J_3ADC_n77A-n257K_3ADC_n77A-n257L_3ADC_n77A-n257M_3A,DC_n77A_3ADC_n257A_3A
DC_n77(2A)-n257A_3ADC_n77(2A)-n257G_3ADC_n77(2A)-n257H_3ADC_n77(2A)-n257I_3ADC_n77(2A)-n257J_3ADC_n77(2A)-n257K_3ADC_n77(2A)-n257L_3ADC_n77(2A)-n257M_3A,DC_n77A_3ADC_n257A_3A
DC_n77A-n257A_8ADC_n77A-n257G_8ADC_n77A-n257H_8ADC_n77A-n257I_8ADC_n77A-n257J_8ADC_n77A-n257K_8ADC_n77A-n257L_8ADC_n77A-n257M_8A,DC_n77A_8ADC_n257A_8A
DC_n77(2A)-n257A_8ADC_n77(2A)-n257G_8ADC_n77(2A)-n257H_8ADC_n77(2A)-n257I_8ADC_n77(2A)-n257J_8ADC_n77(2A)-n257K_8ADC_n77(2A)-n257L_8ADC_n77(2A)-n257M_8A,DC_n77A_8ADC_n257A_8A
DC_n257A-3(n)AADC_n257G-3(n)AADC_n257H-3(n)AADC_n257I-3(n)AADC_n257J-3(n)AADC_n257K-3(n)AADC_n257L-3(n)AADC_n257M-3(n)AA,DC_3(n)AA3DC_n257A_3A
NOTE 1:Uplink NE-DC configurations are the configurations supported by the present release of specifications.NOTE 2:Applicable for UE supporting inter-band NE-DC with mandatory simultaneous Rx/Tx capabilityNOTE 3:Only single switched UL is supported,
