Clause suffix,Variant
None,Single Carrier
A,Carrier Aggregation (CA) between FR1 and FR2
B,"Dual-Connectivity (DC) with and without SUL including UL sharing from UE perspective, inter-band NR DC between FR1 and FR2"
D,UL MIMO
E,V2X
F,Shared spectrum channel access
H,Dual-Connectivity (DC) with UL MIMO
L,Dual-Connectivity (DC) with Tx Diversity
