NE-DCconfiguration,Uplink NE-DCconfiguration(NOTE 1)
DC_n257A_1ADC_n257G_1ADC_n257H_1ADC_n257I_1ADC_n257J_1ADC_n257K_1ADC_n257L_1ADC_n257M_1A,DC_n257A_1ADC_n257G_1ADC_n257H_1ADC_n257I_1ADC_n257J_1ADC_n257K_1ADC_n257L_1ADC_n257M_1A
DC_n257A_3ADC_n257G_3ADC_n257H_3ADC_n257I_3ADC_n257J_3ADC_n257K_3ADC_n257L_3ADC_n257M_3ADC_n257A_3CDC_n257G_3CDC_n257H_3CDC_n257I_3CDC_n257J_3CDC_n257K_3CDC_n257L_3CDC_n257M_3C,DC_n257A_3ADC_n257G_3ADC_n257H_3ADC_n257I_3ADC_n257J_3ADC_n257K_3ADC_n257L_3ADC_n257M_3ADC_n257A_3CDC_n257G_3CDC_n257H_3CDC_n257I_3CDC_n257J_3CDC_n257K_3CDC_n257L_3CDC_n257M_3C
DC_n257A_5ADC_n257G_5ADC_n257H_5ADC_n257I_5ADC_n257J_5ADC_n257K_5ADC_n257L_5ADC_n257M_5A,DC_n257A_5A
DC_n257A_7ADC_n257G_7ADC_n257H_7ADC_n257I_7ADC_n257J_7ADC_n257K_7ADC_n257L_7ADC_n257M_7A,DC_n257A_7A
DC_n257A_7A-7ADC_n257G_7A-7ADC_n257H_7A-7ADC_n257I_7A-7ADC_n257J_7A-7ADC_n257K_7A-7ADC_n257L_7A-7ADC_n257M_7A-7A,DC_n257A_7A
DC_n257A_8ADC_n257G_8ADC_n257H_8ADC_n257I_8ADC_n257J_8ADC_n257K_8ADC_n257L_8ADC_n257M_8A,DC_n257A_8A
DC_n257A_26A,DC_n257A_26A
NOTE 1:Uplink NE-DC configurations are the configurations supported by the present release of specifications.NOTE 2:Applicable for UE supporting inter-band NE-DC with mandatory simultaneous Rx/Tx capability for all of the above combinations,
