NE-DCconfiguration,Uplink NE-DC configuration(note 1)
DC_3(n)AA-1A-8A,DC_n3A_1ADC_3(n)AA2DC_n3A_8A
DC_n3A-n77A_1A-8A,DC_n3A_1ADC_n77A_1ADC_n77A_1ADC_n77A_8A
DC_n3A-n8A-n77A_1A,DC_n3A_1ADC_n8A_1ADC_n77A_1A
DC_n3A-n8A-n77(2A)_1A,DC_n3A_1ADC_n8A_1ADC_n77A_1A
DC_n8A-3(n)AA-1A,DC_n3A_1ADC_3(n)AA2DC_n8A_1ADC_n8A_3A
DC_n8A-n77A_1A-3A,DC_n8A_1ADC_n8A_3ADC_n77A_1ADC_n77A_3A
DC_n8A-n77(2A)_1A-3A,DC_n8A_1ADC_n77A_1ADC_n8A_3ADC_n77A_3A
DC_n8A-n77A-3(n)AA,DC_3(n)AA2DC_n8A_3ADC_n77A_3A
DC_n8A-n77(2A)-3(n)AA,DC_3(n)AA2DC_n8A_3ADC_n77A_3A
DC_n77A_1A-3A-8A,DC_n77A_1ADC_n77A_3ADC_n77A_8A
DC_n77(2A)_1A-3A-8A,DC_n77A_1ADC_n77A_3ADC_n77A_8A
DC_n77A-3(n)AA-1A,DC_n3A_1ADC_3(n)AA2DC_n77A_1ADC_n77A_3A
DC_n77(2A)-3(n)AA-1A,DC_n3A_1ADC_3(n)AA2DC_n77A_1ADC_n77A_3A
DC_n77A-3(n)AA-8A,DC_3(n)AA2DC_n3A_8ADC_n77A_3ADC_n77A_8A
DC_n77(2A)-3(n)AA-8A,DC_3(n)AA2DC_n3A_8ADC_n77A_3ADC_n77A_8A
DC_n78A_1A-3A-5A,DC_n78A_1ADC_n78A_3ADC_n78A_5A
DC_n78A_1A-3A-7A,DC_n78A_1ADC_n78A_3ADC_n78A_7A
DC_n78A_1A-3A-7A-7A,DC_n78A_1ADC_n78A_3ADC_n78A_7A
DC_n78A_1A-3A-8ADC_n78A_1A-3C-8A,DC_n78A_1ADC_n78A_3ADC_n78A_8A
DC_n78A_1A-5A-7A,DC_n78A_1ADC_n78A_5ADC_n78A_7A
DC_n78A_1A-5A-7A-7A,DC_n78A_1ADC_n78A_5ADC_n78A_7A
DC_n78A_3A-5A-7A,DC_n78A_3ADC_n78A_5ADC_n78A_7A
DC_n78A_3A-5A-7A-7A,DC_n78A_3ADC_n78A_5ADC_n78A_7A
NOTE 1:Uplink NE-DC configurations are the configurations supported by the present release of specifications.NOTE 2:Only single switched UL is supported.,
