Parameter,Candidate UL TCI.State.0
Candidateul-TCIState-Id,Id0
referenceSignal Note1,SSB0
pathlossReferenceRS,SSB0
additionalPCI,N/A
NOTE 1:referenceSignal configurations towards which the UL TCI states are configured are defined in a test-specific manner.,
