Field,Value
lpss-MvalueAndSeqConfig,nFour
lpss-BinarySeqLen,n32
lpss-OverlaidSeqRoot,1
lpss-PeriodicityAndOffset,"ms320, 4"
lpss-StartSymbol,startSymbol1 = 3
lpss-EPRE-Ratio,dB0
lpwus-LPSS-StartRB,NOTE 1
lpwus-LPSS-BeamSubset,NOTE 2
NOTE 1:The start RB for LP-SS is configured such that the LP-SS does not overlap with initial BWP.NOTE 2:Same as configured value as ssb-PositionsInBurst in SIB1.,
