Parameter,Unit,Test 1
Interval between adjacent epoch time,s,LEO: 2.56GEO: 10.24
ntn-UlSyncValidityDuration,s,LEO: 5GEO: 900
cellSpecificKoffset,slot,LEO: 14GEO: 258
kmac,slot,Not configured
ta-Common,,0
ta-CommonDrift,,0
ta-CommonDriftVariant,,0
ntn-PolarizationDL,,linear
ntn-PolarizationUL,,linear
ephemerisInfo,,Detailed ephemeris information is provided in TS 38.508-1 [38].
ta-Report,,Not configured
