Parameter,DLorJoint TCI.State.0,DLorJoint TCI.State.1,DLorJoint TCI.State.2,DLorJoint TCI.State.3,DLorJoint TCI.State.4,DLorJoint TCI.State.5,DLorJoint TCI.State.6,DLorJoint TCI.State.7,DLorJoint TCI.State.8,DLorJoint TCI.State.9,DLorJoint TCI.State.10,DLorJoint TCI.State.11
tci-StateUnifiedId,Id0,Id1,Id2,Id3,Id4,Id5,Id6,Id7,Id8,Id9,Id10,Id11
qcl-Type1,typeA,typeA,typeA,typeA,typeC,typeC,typeA,typeA,typeA,typeC,typeC,typeC
qcl-Type2Note1,typeD,typeD,typeD,typeD,typeD,typeD,typeD,typeD,typeD,typeD,typeD,typeD
referenceSignal Note2,Resource #4 in TRS resource set 1 Note3,Resource #4 in TRS resource set 2  Note 5,Resource #4 in TRS resource set 1 Note3,Resource #4 in TRS resource set 2 Note3,SSB0,SSB1 from the cell with different PCI,Resource #4 in TRS resource set 3Note 6,Resource #4 in TRS resource set 4Note 7,Resource #4 in TRS resource set 5Note 8,SSB1,SSB2,SSB3
pathlossReferenceRS,N/A,N/A,Resource #4 in TRS resource set 1 Note3,Resource #4 in TRS resource set 1 Note3,N/A,N/A,Resource #4 in TRS resource set 3 Note 6,Resource #4 in TRS resource set 4 Note 7,Resource #4 in TRS resource set 5 Note 8,N/A,N/A,N/A
additionalPCI,N/A,configured Note4,N/A,N/A,N/A,configured Note4,N/A,N/A,N/A,N/A,N/A,N/A
"NOTE 1:qcl-Type2 of typeD only where applicable. For RRM test cases, this will be only in FR2NOTE 2:referenceSignal configurations towards which the TCI states are configured are defined in a test-specific manner.NOTE 3:Reference TRS resource sets are defined in clause A.3.17, and the applicable TRS resource set(s) are specified in each test case. When a single TRS resource set is configured in a test case, it is considered as resource set 1. The TCI state of the TRS is the DLorJoint TCI.State.4.NOTE 4:Only one PCI than serving cell PCI is included in the additionalPCIList, and the additionalPCIIndex is configured as 0.NOTE 5:Reference TRS resource sets are defined in clause A.3.17, and the applicable TRS resource set(s) are specified in each test case. When a single TRS resource set is configured in a test case, it is considered as resource set 1. The TCI state of the TRS is the DLorJoint TCI.State.5.NOTE 6: Reference TRS resource sets are defined in clause A.3.17, and the applicable TRS resource set(s) are specified in each test case. When a single TRS resource set is configured in a test case, it is considered as resource set 1. The TCI state of the TRS is the DlorJoint TCI.State.9.NOTE 7: Reference TRS resource sets are defined in clause A.3.17, and the applicable TRS resource set(s) are specified in each test case. When a single TRS resource set is configured in a test case, it is considered as resource set 1. The TCI state of the TRS is the DlorJoint TCI.State.10.NOTE 7: Reference TRS resource sets are defined in clause A.3.17, and the applicable TRS resource set(s) are specified in each test case. When a single TRS resource set is configured in a test case, it is considered as resource set 1. The TCI state of the TRS is the DLorJoint TCI.State.11.",,,,,,,,,,,,
