OCNG Parameters,Control Region,Data Region
Resource allocation,Unused REs (Note 1),Unused REs (Note 2)
Channel,PDCCH,PDSCH
Contents,Virtual UE IDs,Uncorrelated pseudo random QPSK modulated data
Antenna transmission scheme,Same as used in PDCCH RMC,Same as used in PDSCH RMC
Subcarrier spacing,Same as used in PDCCH RMC,Same as used in PDSCH RMC
Aggregation level,Same as used in PDCCH RMC,N/A
Code rate,Same as used in PDCCH RMC,Same as used in PDSCH RMC
Transmit Power,Same as used in PDCCH RMC,Same as used in PDSCH RMC
CP length,Same as used in PDCCH RMC,Same as used in PDSCH RMC
"NOTE 1:REs not used in the active CORESETs where PDCCH is scheduled for the UE under test.NOTE 2:REs not allocated to any physical channels, CORESET, SSB or any other reference signal within the channel bandwidth of the cell, confined to BWoccupied where specified in the test case.",,
