BWP Parameters,Unit,Values,,
Reference BWP,,ULBWP.1.1 RedCap,ULBWP.1.2 RedCap,ULBWP.1.3 RedCap
Starting PRB index,,RBa Note 1,RBb Note 2,RBc Note 3
Bandwidth,PRB,"25 for SSB SCS = 15kHz,25 for SSB SCS = 30kHz,32 for SSB SCS = 120kHz16 for SSB SCS = 240kHz","25 for SSB SCS = 15kHz,25 for SSB SCS = 30kHz,32 for SSB SCS = 120kHz16 for SSB SCS = 240kHz","25 for SSB SCS = 15kHz,25 for SSB SCS = 30kHz,32 for SSB SCS = 120kHz16 for SSB SCS = 240kHz"
NOTE 1:RBa is the same as PRBa for DLBWP.1.1 RedCap.NOTE 2:RBb is the same as PRBb for DLBWP.1.2 RedCap.NOTE 3:RBc is the same as PRBc for DLBWP.1.3 RedCap.,,,,
