Parameter,Unit,Value
Reference channel,,TRS.1.3 FDD
Bandwidth,,BW of Active BWPNote 1
SCS,kHz,15
First subcarrier index in the PRB used for CSI-RS,,"k0=0 for CSI-RS resource 1,2,3,4"
First OFDM symbol in the slot used for CSI-RS,,l0 = 5 for CSI-RS resource 1 and 3l0 = 9 for CSI-RS resource 2 and 4
Number of CSI-RS ports (X),,"1 for CSI-RS resource 1,2,3,4"
CDM Type,,"‘No CDM’ for CSI-RS resource 1,2,3,4"
Density (ρ),,"3 for CSI-RS resource 1,2,3,4"
aperiodicTriggeringOffsetL2,slots,2
Aperiodic CSI-RS offset,slots,2 for CSI-RS resource 1 and 23 for CSI-RS resource 3 and 4
EPRE ratio to SSS,dB,0Note 2
TCI state,,TCI.State.0
NOTE 1: BW of TRS is configured same as the BW size of UE active BWP in the RRM test casesNOTE 2: Unless otherwise specified in the test case.,,
