SBFD Parameters,Values
SCS,30 kHz
Frequency domain configuration,"DU, 80MHz in D subband, 20MHz in U subband"
SBFD starting slot index,1
SBFD starting symbol index,0
SBFD ending slot index,3
SBFD ending symbol index,13
