SSB Parameters,Values
Channel bandwidth,40 MHz
SSB SCS,30 kHz
SSB periodicity (TSSB),20 ms
Number of SSB indexes per SS-burst ()NSSBQCL,1
Number of SS/PBCH block candidates per SSB index,1
SS/PBCH block candidate position,0
SS/PBCH block index,0
Symbol numbers containing SSB Note 2,2-5
Slot numbers containing SSB Note 2,0
SFN containing SSB,"SFN mod (max(TSSB,10 ms)/10 ms) = 0"
PRB numbers containing SSB within channel BW,"(RBJ, PRBJ+1,.…, PRBJ+19)Note 1"
NOTE 1:PRBs containing SSB can be configured in any frequency location within the cell bandwidth according to the allowed synchronization raster defined in TS 38.104 [13].NOTE 2:These values have been derived from other parameters for information purposes (as per TS 38.213 [3]). They are not settable parameters themselves,
