Parameter,Unit,Value,,
Reference channel,,TDDConf.1.1 CCA,,
referenceSubcarrierSpacing,kHz,N/A,,
"TDD UL/DL pattern 1 Note 2, Note 3",,‘3D1S4U’S=’6DL:4GP:4UL’,,
dl-UL-TransmissionPeriodicity,ms,N/A,,
nrofDownlinkSlots,,N/A,,
nrofDownlinkSymbols,,N/A,,
nrofUplinkSlot,,N/A,,
nrofUplinkSymbols,,N/A,,
"TDD UL/DL pattern 2 Note 2, Note 3",,‘DD’,,
dl-UL-TransmissionPeriodicity,ms,N/A,,
nrofDownlinkSlots,,N/A,,
nrofDownlinkSymbols,,N/A,,
nrofUplinkSlot,,N/A,,
nrofUplinkSymbols,,N/A,,
NOTE 1:As specified in TS 38.213 [3] and TS 38.331 [2].NOTE 2:Do not configure tdd-UL-DL-ConfigurationCommon using RRC configurationNOTE 3:The UE will be scheduled via DCI according to the TDD pattern defined in the table.,,,,
