Parameter,DLorJoint TCI.State.1.1,DLorJoint TCI.State.1.2,DLorJoint TCI.State.1.3,DLorJoint TCI.State.1.4
tci-StateUnifiedId,Id1,Id2,Id3,Id4
qcl-Type1,typeA,typeA,typeC,typeC
qcl-Type2,N/A,N/A,N/A,N/A
referenceSignal Note2,Resource #4 in TRS resource set 1 Note2,Resource #4 in TRS resource set 2 Note3,SSB2,SSB3
pathlossReferenceRS,N/A,N/A,N/A,N/A
additionalPCI,N/A,N/A,N/A,N/A
"NOTE 1:referenceSignal configurations towards which the TCI states are configured are defined in a test-specific manner.NOTE 2:Reference TRS resource sets are defined in clause A.3.17, and the applicable TRS resource set(s) are specified in each test case. When a single TRS resource set is configured in a test case, it is considered as resource set 1. The TCI state of the TRS is the DLorJoint TCI.State.1.1.NOTE 3:Reference TRS resource sets are defined in clause A.3.17, and the applicable TRS resource set(s) are specified in each test case. When a single TRS resource set is configured in a test case, it is considered as resource set 1. The TCI state of the TRS is the DLorJoint TCI.State.1.2.",,,,
