BWP Parameters,Unit,Values,,,,,,
Reference BWP,,DLBWP.1.1,DLBWP.1.2,DLBWP.1.3,DLBWP.1.4,DLBWP.1.5,DLBWP.1.6,DLBWP.1.7
Starting PRB index,,0,RBb Note 1,RBa Note 2,0,RBb Note 1,RBa Note 2,RBc Note 3
Bandwidth,PRB,Same as RF channel defined in each test,"25 for SSB SCS = 15kHz,51 for SSB SCS = 30kHz,32 for SSB SCS = 120kHz48 for SSB SCS = 240kHz","25 for SSB SCS = 15kHz,51 for SSB SCS = 30kHz,32 for SSB SCS = 120kHz48 for SSB SCS = 240kHz",24 for SSB SCS = 120kHz24 for SSB SCS = 240kHz,24 for SSB SCS = 120kHz24 for SSB SCS = 240kHz,24 for SSB SCS = 120kHz24 for SSB SCS = 240kHz,"25 for SSB SCS = 15kHz,51 for SSB SCS = 30kHz,32 for SSB SCS = 120kHz48 for SSB SCS = 240kHz"
"NOTE 1:RBb is the lowest PRB index to guarantee the BWP not fully overlapped with SSB PRB index (RBJ, PRBJ+1,.…, PRBJ+19) which is defined in clause A.3.10.NOTE 2:RBa is the lowest PRB index to guarantee the BWP including SSB PRB index (RBJ, PRBJ+1,.…, PRBJ+19) which is defined in clause A.3.10.NOTE 3:RBc is the PRB index having an offset of 6 PRBs with respect to the start of SSB PRB index (RBJ, PRBJ+1,.…, PRBJ+19) which is defined in clause A.3.10.",,,,,,,,
