BWP Parameters,Unit,Values,,
Reference BWP,,DLBWP.1.1 RedCap,DLBWP.1.2 RedCap,DLBWP.1.3 RedCap
Starting PRB index,,RBa Note 1,RBb Note 2,RBc Note 3
Bandwidth,PRB,"25 for SSB SCS = 15kHz,25 for SSB SCS = 30kHz,32 for SSB SCS = 120kHz16 for SSB SCS = 240kHz","25 for SSB SCS = 15kHz,25 for SSB SCS = 30kHz,32 for SSB SCS = 120kHz16 for SSB SCS = 240kHz","25 for SSB SCS = 15kHz,25 for SSB SCS = 30kHz,32 for SSB SCS = 120kHz16 for SSB SCS = 240kHz"
"NOTE 1:RBa is the lowest PRB index to guarantee the BWP including SSB PRB index (RBJ, PRBJ+1,.…, PRBJ+19) which is defined in clause A.3.10.NOTE 2:RBb is the lowest PRB index to guarantee the BWP not fully overlapped with SSB PRB index (RBJ, PRBJ+1,.…, PRBJ+19) which is defined in clause A.3.10.NOTE 3:RBc is the lowest PRB index to guarantee the BWP including SSB PRB index (RBJ, PRBJ+1,.…, PRBJ+19) which is defined in clause A.3.10.",,,,
