SBFD Parameters,Values
SCS,120kHz
Frequency domain configuration,"DUD, 75 MHz in 1st D subband, 50 MHz in U subband, 75 MHz in 2nd D subband"
SBFD starting slot index,1
SBFD starting symbol index,0
SBFD ending slot index,3
SBFD ending symbol index,13
