Field,Value
sl-DRX-GC-BC-OnDurationTimer,2 ms
sl-DRX-GC-InactivityTimer,2 ms
sl-DRX-GC-RetransmissionTimer,16 slot
sl-DRX-GC-BC-CyclelongDRX,640 ms
NOTE:This SL-DRX configuration is applicable for V2X sidelink communication. For further information see clause 6.3.5 in TS 38.331 [2].,
