Cluster #,Absolute Delay [ns],Power in [dB],AOD in [°],AOA in [°],ZOD in [°],ZOA in [°]
1,0,-7.4318,-30.4353,-114.436,98.9242,74.51134
2,12.594,-1.2500,-20.9269,125.5639,99.1915,74.51134
5,13.056,-5.5318,-28.0782,-174.436,99.5732,74.51134
6,38.196,0.0000,-11.6982,-174.436,99.306,74.51134
13,73.71,-8.1318,-33.911,95.5639,100.165,74.51134
14,78.498,-9.8318,-37.5066,-114.436,100.2604,74.51134
Per-Cluster Parameters,,,,,,
Parameter,CASD in [°],CASA in [°],CZSD in [°],CZSA in [°],XPR in [dB],
Value,0.799,10.4021,0.5726,0,7,
