Field,Value
drx-onDurationTimer,psf6
drx-InactivityTimer,psf1920
drx-RetransmissionTimer,psf16
longDRX-CycleStartOffset,"sf320, 0"
shortDRX,disable
TimeAlignmentTimer,Infinity
NOTE:This DRX configuration is applicable for E-UTRA serving cell. For further information see clause 6.3.2 in TS 36.331 [16].,
