Functional Area,Test Case
RRC_IDLE state mobility,A.14.1.3
,A.14.1.4
,A.14.1.5
,A.14.1.6
,A.14.1.9
,A.14.1.10
Handover,A.14.2.1.3
,A.14.2.1.4
,A.14.2.1.5
,A.14.2.1.6
Timing,A.14.3.1
Radio Link Monitoring,A.14.4.1.1
,A.14.4.1.2
,A.14.4.1.5
,A.14.4.1.6
BFD and LR procedures,A.14.4.2.1
,A.14.4.2.3
,A.14.4.2.5
Active BWP switch,A.14.4.3.1
UE specific CBW change,A.14.4.4.1
PL-RS switching delay,A.14.4.5.1
Intra-frequency measurements,A.14.5.1.1
,A.14.5.1.3
,A.14.5.1.5
Inter-frequency measurements,A.14.5.2.1
,A.14.5.2.3
,A.14.5.2.7
L1-RSRP measurements,A.14.5.3.1
,A.14.5.3.3
SS-RSRP accuracy,A.14.6.1.1
SS-RSRQ accuracy,A.14.6.2.1
SS-SINR accuracy,A.14.6.3.1
L1-RSRP accuracy,A.14.6.4.1
