Parameter,SRS.SRI0,SRS.SRI1
srs-SpatialRelationInfoId,Id0,Id1
referenceSignal,SSB0,SSB1
NOTE 1:referenceSignal configurations towards which the spatial relation are configured in a test-specific manner.,,
