SSB Parameters,Values
Channel bandwidth,100 MHz
SSB SCS,240 kHz
SSB periodicity (TSSB),80 ms
Number of SSBs per SS-burst,1
SS/PBCH block index,0
Symbol numbers containing SSBs Note 2,8-11
Slot numbers containing SSB Note 2,0
SFN containing SSB,"SFN mod (max(TSSB,10ms)/10ms) = 0"
RB numbers containing SSBs within channel BW,"(RBJ, RBJ+1,.…, RBJ+39)Note 1"
Note 1:RBs containing SSB can be configured in any frequency location within the associated bandwidth part except the RBs for allowed synchronization raster defined in TS 38.104 [13]. Note 2:These values have been derived from other parameters for information purposes (as per TS 38.213 [3]). They are not settable parameters themselves.,
