Test category,Section,Test case
Active BWP switching,A.11.4.5.2.1,NR FR1- NR FR1 DL active BWP switch of PCell with non-DRX in SA
,A.11.4.5.2.2,NR FR1 DL active BWP switch with non-DRX in SA
,A.11.4.5.3.1,NR FR1 DL active BWP switch of Cell with non-DRX in SA
