Parameter,TCI.State.0,TCI.State.1,TCI.State.2,TCI.State.3
tci-StateId,Id0,Id1,Id2,Id3
qcl-Type1,typeC,typeC,typeA,typeA
qcl-Type2Note1,typeD,typeD,typeD,typeD
referenceSignal,SSB0,SSB1,Resource #4 in TRS resource set 1 Note3,Resource #4 in TRS resource set 2 Note3
"NOTE 1:qcl-Type2 of typeD only where applicable. For RRM test cases, this will be only in FR2NOTE 2:referenceSignal configurations towards which the TCI states are configured are defined in a test-specific manner.NOTE 3:Reference TRS resource sets are defined in clause A.3.17, and the applicable TRS resource set(s) are specified in each test case. When a single TRS resource set is configured in a test case, it is considered as resource set 1.",,,,
