Test case,"SNR for RS in set q0 during T3, T4 and T5 (dB)",
,Test 1,Test 2
A.10.3.4.1,-15,N/A
A.10.3.4.2,-15,N/A
A.11.4.4.1,-15,N/A
A.11.4.4.2,-15,N/A
