DL-PRS Measurement Time Window Parameters,Unit,Values,
Reference DL-PRS Measurement Time Window,,MTW.1,MTW.2
Number of configuration elements,,1,1
Start SFN,,0,0
Periodicity,slot,Note 1,Note 4
Slot and Symbol Offset,slot,Note 2,Note 2
Duration,slot,4,4
Associated PFL index,,0,0
Associated PRS resource set index,,Note 3,Note 3
NOTE 1:Same as 2*(PRS resource set periodicity as used in the test case).NOTE 2:Same as PRS resource with smallest slot and symbol offset as used in the test case.NOTE 3:Include all PRS resource sets of all TRPs used in the test case.NOTE 4:Same as 2*(DRX cycle as used in the test case).,,,
