Functional Area,Test Case
RRC_IDLE state mobility,A.14.1.1
,A.14.1.2
,A.14.1.7
,A.14.1.8
Handover,A.14.2.1.1
,A.14.2.1.2
RRC Connection Mobility Control,A.14.2.2.1
,A.14.2.2.2
,A.14.2.2.3
Timing,A.14.3.2
Radio Link Monitoring,A.14.4.1.3
,A.14.4.1.4
,A.14.4.1.7
,A.14.4.1.8
BFD and LR procedures,A.14.4.2.2
,A.14.4.2.4
,A.14.4.2.6
Active BWP switch,A.14.4.3.2
Intra-frequency measurements,A.14.5.1.2
,A.14.5.1.4
,A.14.5.1.6
Inter-frequency measurements,A.14.5.2.2
,A.14.5.2.4
,A.14.5.2.6
,A.14.5.2.8
L1-RSRP measurements,A.14.5.3.2
,A.14.5.3.4
SS-RSRP accuracy,A.14.6.1.2
SS-RSRQ accuracy,A.14.6.2.2
SS-SINR accuracy,A.14.6.3.2
L1-RSRP accuracy,A.14.6.4.2
