Field,Value
cellDTXDRX-onDurationTimer,1 ms
cellDTXDRX-CycleStartOffset,160 ms
cellDTXDRXconfigType-r18,dtx
cellDTXDRXactivationStatus,activated
NOTE:This Cell DTX configuration is applicable for NR serving cell. The Cell DTX cycle and time alignment timer parameters are specified in clause 6.3.2 in TS 38.331 [2].,
