Field,Value
drx-onDurationTimer,psf2
drx-InactivityTimer,psf2
drx-RetransmissionTimer,psf16
longDRX-CycleStartOffset,"sf40, 0"
shortDRX,disable
TimeAlignmentTimer,500 ms
NOTE:This DRX configuration is applicable for E-UTRA serving cell. For further information see clause 6.3.2 in TS 36.331 [16].,
