Test category,Section,Test case
Active BWP switching,A.10.3.5.2.1,E-UTRAN – NR PSCell FR1 DL active BWP switch in non-DRX in synchronous EN-DC
,A.10.3.5.2.2,E-UTRAN – NR PSCell FR1 DL active BWP switch with FR1 SCell in non-DRX in synchronous EN-DC
,A.10.3.5.3.1,E-UTRAN – NR PSCell FR1 DL active BWP switch in non-DRX in synchronous EN-DC
