,CSI-RS.RRM.FR2.1 TDD
CSI-RS-ResourceConfigMobility,
"subcarrierSpacing, kHz",120
CSI-RS-CellMobility,
cellIdnote1,0
nrofPRBs,48
startPRB,0
density,3
CSI-RS-Resource-Mobility,
csi-RS-Index,0
slotConfig: ms20 note2,slot1
associatedSSB,True
ssb-Index note3,0
isQuasiColocated,True
firstOFDMSymbolInTimeDomain note4,10
sequenceGenerationConfig,0
Others,
nrofPorts,1
CDM Type,NoCDM
"EPRE ratio to SSS, dB",0
Note1:unless specified otherwise.Note2:unless specified otherwise.Note3:assume the same SS/PBCH block index of the corresponding cell in the test case.Note4:unless specified otherwise.,
