Configuration,Description for serving cell,Description for target cell
1,"120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex mode","120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex mode"
2,"240 kHz SSB SCS, 100 MHz bandwidth, TDD duplex mode","240 kHz SSB SCS, 100 MHz bandwidth, TDD duplex mode"
NOTE:The UE is only required to be tested in one of the supported test configurations.,,
