Configuration,Description
1,"Source FR1 PCell: NR FDD, SSB SCS 15 kHz, data SCS 15 kHz, 10 MHz bandwidthTarget PCell: LTE FDD, Target PSCell: NR TDD, SSB SCS 120 kHz, data SCS 120 kHz, BW 100 MHz"
2,"Source FR1 PCell: NR FDD, SSB SCS 15 kHz, data SCS 15 kHz, 10 MHz bandwidthTarget PCell: LTE TDD, Target PSCell: NR TDD, SSB SCS 240 kHz, data SCS 120 kHz, BW 100 MHz"
NOTE: The UE is only required to be tested in one of the supported test configurations,
