Parameter,Unit,Config,T1,T2
Angle of arrival configuration,,"1,2,3",Setup 1 according to clause A.3.15.1,
Assumption for UE beamsNote 6,,"1,2,3",Fine,
Note1,dBm/15 kHzNote4,,-112,
Note1,dBm/SCSNote3,1,-100,
,,2,-94,
,,3,-91,
,dB,"1,2,3",4,
SS-RSRPNote2,dBm/SCS Note4,1,-96,
,,2,-90,
,,3,-87,
,dB,"1,2,3",4,
IoNote2,dBm/95.04 MHz Note4,1,-68.5,
,dBm/380.16 MHz Note4,"2,3",-62.5,
"NOTE 1:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 2:SS B_RP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 3:VoidNOTE 4:Equivalent power received by an antenna with 0 dBi gain at the centre of the quiet zoneNOTE 5:As observed with 0 dBi gain antenna at the centre of the quiet zoneNOTE 6:Information about types of UE beam is given in clause B.2.1.3, and does not limit UE implementation or test system implementation",,,,
