Config,Description
1,"Source cell: NR 15 kHz SSB SCS, 10 MHz bandwidth, FDD duplex modeTarget PCell: LTE FDDTarget PSCell: NR 120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex mode"
2,"Source cell: NR 15 kHz SSB SCS, 10 MHz bandwidth, FDD duplex modeTarget PCell: LTE TDDTarget PSCell: NR 120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex mode"
3,"Source cell: NR 15 kHz SSB SCS, 10 MHz bandwidth, TDD duplex modeTarget PCell: LTE FDDTarget PSCell: NR 120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex mode"
4,"Source cell: NR 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex modeTarget PCell: LTE TDDTarget PSCell: NR 120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex mode"
NOTE:The UE is only required to be tested in one of the supported test configurations,
