Config,Description
1,"PCell: FR1 NR 15 kHz SSB SCS, 10 MHz bandwidth, FDD duplex modeSource Pscell: FR2 NR 120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex modeTarget Pscell: FR2 NR 120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex mode"
2,"PCell: FR1 NR 15 kHz SSB SCS, 10 MHz bandwidth, TDD duplex modeSource Pscell: FR2 NR 120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex modeTarget Pscell: FR2 NR 120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex mode"
3,"PCell: FR1 NR 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex modeSource Pscell: FR2 NR 120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex modeTarget Pscell: FR2 NR 120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex mode"
"NOTE 1:The UE is only required to be tested in one of the supported test configurationsNOTE 2:Target NR cell has the same SCS, BW and duplex mode as NR serving cell",
