Parameter,Unit,Value,,,,,
Reference channel,,,R.0 TDD,,R.1 TDD,,
Channel bandwidth,MHz,1.4,3,5,10/20,15,20
Allocated resource blocks,,,1,,1,,
Uplink-Downlink Configuration (Note 3),,,1,,1,,
Allocated subframes per Radio Frame (D+S),,,3+2,,3+2,,
Modulation,,,16QAM,,16QAM,,
Target Coding Rate,,,1/2,,1/2,,
Information Bit Payload,,,,,,,
"For Sub-Frames 4,9",Bits,,224,,256,,
"For Sub-Frames 1,6",Bits,,208,,208,,
For Sub-Frame 5,Bits,,N/A,,N/A,,
For Sub-Frame 0,Bits,,224,,256,,
Number of Code Blocks per Sub-Frame(Note 4),,,,,,,
"For Sub-Frames 4,9",,,1,,1,,
"For Sub-Frames 1,6",,,1,,1,,
For Sub-Frame 5,,,N/A,,N/A,,
For Sub-Frame 0,,,1,,1,,
Binary Channel Bits Per Sub-Frame,,,,,,,
"For Sub-Frames 4,9",Bits,,504,,552,,
"For Sub-Frames 1,6",Bits,,456,,456,,
For Sub-Frame 5,Bits,,N/A,,N/A,,
For Sub-Frame 0,Bits,,504,,552,,
Max. Throughput averaged over 1 frame,Mbps,,0.109,,0.118,,
UE Category,,,≥ 1,,≥ 1,,
"Note 1:2 symbols allocated to PDCCH for 20 MHz, 15 MHz and 10 MHz channel BW; 3 symbols allocated to PDCCH for 5 MHz and 3 MHz; 4 symbols allocated to PDCCH for 1.4 MHz. For subframe 1&6, only 2 OFDM symbols are allocated to PDCCH.Note 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4]Note 3:As per Table 4.2-2 in TS 36.211 [4].Note 4:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).",,,,,,,
