Correlation Model,,,
Medium Correlation A,0.3,0.6,0.2
High Correlation,0.9,0.9,0.3
Note 1:Value of α applies when more than one pair of cross-polarized antenna elements at eNB side.Note 2:Value of β applies when more than one pair of cross-polarized antenna elements at UE side.,,,
