Parameter,Unit,Value,,,,,
Channel bandwidth,MHz,1.4,3,5,10,15,20
Allocated resource blocks,,6,15,25,50,75,100
DFT-OFDM Symbols per Sub-Frame,,12,12,12,12,12,12
Modulation,,16QAM,16QAM,16QAM,16QAM,16QAM,16QAM
Target Coding rate,,3/4,1/2,1/3,3/4,1/2,1/3
Payload size,Bits,2600,4264,4968,21384,21384,19848
Transport block CRC,Bits,24,24,24,24,24,24
Number of code blocks per Sub-Frame(Note 1),,1,1,1,4,4,4
Total number of bits per Sub-Frame,Bits,3456,8640,14400,28800,43200,57600
Total symbols per Sub-Frame,,864,2160,3600,7200,10800,14400
UE Category,,≥ 1,≥ 1,≥ 1,≥ 2,≥ 2,≥ 2
"Note 1:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit)",,,,,,,
