CQI Index,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Notes
Target Spectral Efficiency,,,OOR,0.1523,0.3770,0.8770,1.4766,1.9141,2.4063,2.7305,3.3223,3.9023,4.5234,5.1152,5.5547,6.2266,6.9141,7.4063,
MCS Scheme,PRB,AvailableRE-s,Imcs,,,,,,,,,,,,,,,,
MCS.11A,6,684,DTX,0,1,3,5,7,8,10,13,14,16,18,20,22,24,25,
MCS.12A,6,672,DTX,0,1,3,5,6,8,10,12,14,16,18,20,22,24,25,
MCS.11B,8,912,DTX,0,1,3,5,7,9,10,13,14,16,18,19,22,24,26,
MCS.12B,8,896,DTX,0,1,3,5,6,8,10,12,14,16,18,19,22,24,25,
"Note 1:Mapping between Imcs and CQI Index according to Tables 7.1.7.1-1A, 7.1.7.2.1-1 and 7.2.3-2 in TS 36.213 [6].Note 2:3 symbols allocated to PDCCH.Note 3:Sub-frame#0 and #5 are not used for the corresponding requirement. The next subframe (i.e. sub-frame#1 or #6) shall be used for potential retransmissions.",,,,,,,,,,,,,,,,,,,
